; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    178.3274901       2034.1594       2.3012841
    178.3479244       2031.4921       2.3009145
    178.3683586       2027.7038       2.3004696
    178.3887927       2026.5204       2.3002830
    178.4092268       2028.3460       2.3004830
    178.4296611       2029.6293       2.3007274
    178.4500952       2025.2579       2.3000128
    178.4705294       2023.0563       2.2998092
    178.4909636       2022.7227       2.2995572
    178.5113977       2022.6167       2.2996569
    178.5318319       2022.0689       2.2994969
    178.5522661       2019.0613       2.2990344
    178.5727002       2021.6109       2.2995505
    178.5931344       2013.4260       2.2984970
    178.6135686       2020.2581       2.2993982
    178.6340029       2018.4477       2.2989867
    178.6544369       2021.8724       2.2995691
    178.6748711       2013.3364       2.2984104
    178.6953053       2023.5899       2.2997725
    178.7157395       2016.7773       2.2989321
    178.7361736       2019.9191       2.2992358
    178.7566078       2019.3528       2.2990110
    178.7770420       2016.7104       2.2989290
    178.7974761       2014.0706       2.2985456
    178.8179103       2016.6769       2.2986951
    178.8383445       2015.4843       2.2986391
    178.8587787       2017.3162       2.2988846
    178.8792128       2017.3052       2.2988343
    178.8996469       2014.1180       2.2983255
    178.9200812       2020.1376       2.2992482
    178.9405153       2015.0021       2.2984891
    178.9609495       2017.0961       2.2987614
    178.9813836       2021.9363       2.2994969
    179.0018179       2020.0850       2.2990627
    179.0222520       2021.0034       2.2991786
    179.0426861       2025.5804       2.2999926
    179.0631204       2023.8370       2.2998326
    179.0835545       2029.5600       2.3003900
    179.1244228       2022.5111       2.2994790
    179.1448570       2026.3350       2.3000925
    179.1652912       2023.9733       2.2997327
    179.1857253       2030.5680       2.3005474
    179.2265937       2034.1787       2.3010900
    179.2470278       2036.2591       2.3014200
    179.2674619       2039.7408       2.3017793
    179.2878962       2041.2236       2.3018928
    179.3083303       2047.7052       2.3028526
    179.3287644       2048.3542       2.3030250
